Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand,RAND,GENDER,GRADE,FUNCTION,OC_RATE,PERFORM,Y_GRADE,AGE,Y_SERVIC,Nationality,Rank 2,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,1,2,3,4,5,6,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
12.0,Female,6 - Junior Officer,N,2.0,Yes,Yes,0.5,No,Y,Strategy,,5 - Senior Officer,Strategy,Full Time,Full Time,Inconclusive,6 - Junior Officer & Strategy,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,3.0,30 to 39,34.0,France,Europe,Europe,2017-04-01,3.0,0.3735028262046777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Male,5 - Senior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3.0,5 - Senior Officer,N,3.0,20 to 29,29.0,Germany,Europe,Europe,2015-04-01,5.0,0.4660666109066425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Male,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,2.0,20 to 29,20.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.3664429574734316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Male,6 - Junior Officer,N,3.0,No,No,0.5,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,1.0,6 - Junior Officer,N,,20 to 29,28.0,France,Europe,Europe,2019-04-01,1.0,0.885474626697956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Male,4 - Manager,N,3.0,No,Yes,0.5,No,Y,Strategy,,4 - Manager,Strategy,Full Time,Full Time,Inconclusive,4 - Manager & Strategy,Even,4 - Manager,3.0,4 - Manager,N,3.0,30 to 39,34.0,Germany,Europe,Europe,2015-04-01,5.0,0.30453046835804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Male,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,4.0,20 to 29,24.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.8989032499480808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Female,6 - Junior Officer,N,2.0,Yes,Yes,0.5,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,0.8,Part Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,4.0,6 - Junior Officer,N,3.0,30 to 39,32.0,Italy,Europe,Europe,2016-04-01,4.0,0.8914986283299322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,Male,5 - Senior Officer,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3.0,5 - Senior Officer,N,,30 to 39,30.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.6147081241499561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Female,5 - Senior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1.0,6 - Junior Officer,Y,1.0,30 to 39,32.0,Germany,Europe,Europe,2012-04-01,8.0,0.2754951245791432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,Male,3 - Senior Manager,N,3.0,No,No,0.5,Yes,Y,Strategy,FY20,,Strategy,Full Time,Full Time,,,,,7.0,3 - Senior Manager,N,3.0,30 to 39,31.0,Switzerland,Switzerland,Switzerland,2013-04-01,7.0,0.5680958040143228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,Male,6 - Junior Officer,N,3.0,No,No,0.5,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3.0,6 - Junior Officer,N,3.0,20 to 29,26.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.3308905145472525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,Male,2 - Director,N,3.0,No,Yes,0.5,No,Y,Internal Services,,2 - Director,Internal Services,Full Time,Full Time,Inconclusive,2 - Director & Internal Services,Uneven - Men benefit,2 - Director,5.0,2 - Director,N,,40 to 49,44.0,Switzerland,Switzerland,Switzerland,2015-04-01,5.0,0.6198904748234738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,Male,5 - Senior Officer,N,4.0,No,Yes,0.5,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3.0,5 - Senior Officer,N,3.0,20 to 29,26.0,United Kingdom,Europe,Europe,2014-04-01,6.0,0.4093729663634008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,Male,4 - Manager,N,2.0,No,Yes,0.5,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3.0,4 - Manager,N,3.0,30 to 39,36.0,France,Europe,Europe,2014-04-01,6.0,0.7583220131305621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,Male,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,3.0,20 to 29,22.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.9243919974404328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,Female,5 - Senior Officer,N,3.0,No,Yes,0.5,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3.0,5 - Senior Officer,N,2.0,30 to 39,33.0,Switzerland,Switzerland,Switzerland,2016-04-01,4.0,0.958851533841118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,Male,5 - Senior Officer,N,4.0,No,Yes,0.5,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2.0,5 - Senior Officer,N,2.0,20 to 29,27.0,Italy,Europe,Europe,2016-04-01,4.0,0.8800872727269781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,Female,5 - Senior Officer,N,2.0,No,Yes,0.5,No,Y,Finance,,5 - Senior Officer,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,2.0,5 - Senior Officer,N,3.0,30 to 39,32.0,Italy,Europe,Europe,2016-04-01,4.0,0.1408926976269942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,Male,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,25.0,Switzerland,Switzerland,Switzerland,2019-04-01,1.0,0.7009782280613129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,Female,6 - Junior Officer,N,2.0,Yes,Yes,0.5,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,2.0,30 to 39,33.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.3527528590332749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,Male,4 - Manager,N,1.0,Yes,Yes,0.5,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2.0,4 - Manager,N,2.0,30 to 39,30.0,Switzerland,Switzerland,Switzerland,2012-04-01,8.0,0.1106613261486192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,Male,4 - Manager,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,1.0,5 - Senior Officer,Y,1.0,30 to 39,33.0,Germany,Europe,Europe,2014-04-01,6.0,0.2562409623176592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,Female,5 - Senior Officer,N,1.0,Yes,Yes,0.5,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,5.0,5 - Senior Officer,N,2.0,30 to 39,37.0,Switzerland,Switzerland,Switzerland,2014-04-01,6.0,0.5383240748254726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,Male,5 - Senior Officer,N,3.0,No,Yes,0.5,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3.0,5 - Senior Officer,N,,20 to 29,27.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.5052174569171429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,Male,3 - Senior Manager,N,1.0,No,Yes,0.5,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,3.0,3 - Senior Manager,N,3.0,30 to 39,39.0,Portugal,Europe,Europe,2015-04-01,5.0,0.4452612786568486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,Male,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,2.0,20 to 29,25.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.9399172372254136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,Female,6 - Junior Officer,Y,,No,No,0.5,No,N,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0.0,,N,,20 to 29,27.0,Italy,Europe,Europe,2020-04-01,0.0,0.6288545998733105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,Male,5 - Senior Officer,N,3.0,No,Yes,0.5,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,1.0,6 - Junior Officer,Y,2.0,20 to 29,24.0,Switzerland,Switzerland,Switzerland,2015-04-01,5.0,0.9370467479105437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,Male,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,2.0,20 to 29,21.0,Germany,Europe,Europe,2017-04-01,3.0,0.7825962607856664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,Female,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,3.0,20 to 29,27.0,France,Europe,Europe,2018-04-01,2.0,0.9408474411597368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,Female,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,28.0,Switzerland,Switzerland,Switzerland,2019-04-01,1.0,0.6081705708661518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,Male,3 - Senior Manager,N,2.0,No,Yes,0.5,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,4.0,3 - Senior Manager,N,2.0,40 to 49,40.0,Switzerland,Switzerland,Switzerland,2016-04-01,4.0,0.1486304639146538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,Female,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,2.0,20 to 29,23.0,Italy,Europe,Europe,2018-04-01,2.0,0.0495409850153434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,Male,2 - Director,N,2.0,No,No,0.5,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,3.0,2 - Director,N,3.0,50 to 59,54.0,Switzerland,Switzerland,Switzerland,2011-04-01,9.0,0.8413063738838453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,Male,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,3.0,20 to 29,26.0,France,Europe,Europe,2017-04-01,3.0,0.5654032572663378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,Female,4 - Manager,N,2.0,No,Yes,0.5,No,Y,HR,,4 - Manager,HR,Full Time,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,2.0,4 - Manager,N,3.0,30 to 39,36.0,Austria,Europe,Europe,2016-04-01,4.0,0.883351284007012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,Female,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,3.0,20 to 29,22.0,France,Europe,Europe,2017-04-01,3.0,0.3152917694562798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,Female,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,HR,,6 - Junior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,2.0,30 to 39,31.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.663630967576907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,Female,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,3.0,20 to 29,22.0,Austria,Europe,Europe,2018-04-01,2.0,0.0741114565215347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,Male,5 - Senior Officer,N,2.0,Yes,Yes,0.5,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,6.0,5 - Senior Officer,N,3.0,30 to 39,31.0,Switzerland,Switzerland,Switzerland,2012-04-01,8.0,0.2325688528533949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,Male,4 - Manager,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2.0,4 - Manager,N,3.0,30 to 39,32.0,France,Europe,Europe,2012-04-01,8.0,0.7841387004845399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,Male,5 - Senior Officer,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3.0,5 - Senior Officer,N,2.0,30 to 39,30.0,Switzerland,Switzerland,Switzerland,2012-04-01,8.0,0.6140013074190728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,Male,5 - Senior Officer,N,2.0,Yes,Yes,0.5,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,7.0,5 - Senior Officer,N,3.0,30 to 39,33.0,Switzerland,Switzerland,Switzerland,2012-04-01,8.0,0.3568726786137369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,Female,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,3.0,20 to 29,25.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.311018274471152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,Male,6 - Junior Officer,Y,,No,No,0.5,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0.0,,N,,20 to 29,25.0,Switzerland,Switzerland,Switzerland,2020-04-01,0.0,0.2717922444008095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,Female,4 - Manager,N,,No,No,0.5,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3.0,4 - Manager,N,3.0,30 to 39,38.0,United Kingdom,Europe,Europe,2016-04-01,4.0,0.1115083989413275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,Male,5 - Senior Officer,N,2.0,Yes,Yes,0.5,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2.0,5 - Senior Officer,N,3.0,30 to 39,35.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.5599238286121622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,Male,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,22.0,Switzerland,Switzerland,Switzerland,2019-04-01,1.0,0.5799515373710443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,Male,6 - Junior Officer,N,2.0,No,No,0.5,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,3.0,6 - Junior Officer,N,3.0,30 to 39,38.0,France,Europe,Europe,2017-04-01,3.0,0.5250369701281734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,Female,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,23.0,France,Europe,Europe,2019-04-01,1.0,0.937482441760553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,Female,5 - Senior Officer,N,3.0,No,No,0.5,Yes,Y,Operations,FY20,,Operations,0.8,Part Time,,,,,2.0,5 - Senior Officer,N,3.0,50 to 59,56.0,Switzerland,Switzerland,Switzerland,2012-04-01,8.0,0.3909286471928982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,Male,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,20.0,United States,Americas,Elsewhere,2019-04-01,1.0,0.5589414231229449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,Male,2 - Director,N,3.0,No,Yes,0.5,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3.0,2 - Director,N,3.0,30 to 39,36.0,Switzerland,Switzerland,Switzerland,2011-04-01,9.0,0.3162254492402444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
